,CONEXION,SECTOR,CDESTIPSER,MES,AÑO,CATEGORIA,fecha_inicio,hora_inicio,fecha_fin,hora_fin,latitud,longitud,fecha_hora_inicio,fecha_hora_fin,tiempo_resta
201,2893574,S68,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-15,1960-01-01 02:03:00,2025-08-16,1960-01-01 09:40:48.348,-6.482683147935934,-76.3639412160478,2025-08-15 02:03:00-01:00,2025-08-16 09:40:48.348000-01:00,1
202,1359097,S68,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-27,1960-01-01 10:33:00,2025-08-31,1960-01-01 08:08:49.146,-6.515135420516204,-76.37121667342647,2025-08-27 10:33:00-01:00,2025-08-31 08:08:49.146000-01:00,3
203,2340237,S68,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-05,1960-01-01 07:00:00,2025-03-06,1960-01-01 15:46:37.532,-6.478068910904234,-76.36100007370324,2025-03-05 07:00:00-01:00,2025-03-06 15:46:37.532000-01:00,1
204,1897067,S73,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-18,1960-01-01 05:05:00,2025-07-21,1960-01-01 08:18:27.852,-6.480222226771749,-76.38437441549425,2025-07-18 05:05:00-01:00,2025-07-21 08:18:27.852000-01:00,3
205,3032466,S73,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-27,1960-01-01 23:25:00,2025-07-30,1960-01-01 00:14:44.093,-6.490373449142042,-76.3407216712223,2025-07-27 23:25:00-01:00,2025-07-30 00:14:44.093000-01:00,2
206,3080100,S73,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-20,1960-01-01 19:10:00,2025-07-23,1960-01-01 14:12:07.276,-6.476377013418876,-76.37849213080513,2025-07-20 19:10:00-01:00,2025-07-23 14:12:07.276000-01:00,2
208,633283,S73,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-21,1960-01-01 12:07:00,2025-10-24,1960-01-01 19:25:49.392,-6.473454631677611,-76.37230025218498,2025-10-21 12:07:00-01:00,2025-10-24 19:25:49.392000-01:00,3
209,633283,S73,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-10,1960-01-01 21:54:00,2025-12-13,1960-01-01 18:37:28.840,-6.473454631677611,-76.37230025218498,2025-12-10 21:54:00-01:00,2025-12-13 18:37:28.840000-01:00,2
213,2661266,S53,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-14,1960-01-01 21:11:00,2025-01-16,1960-01-01 10:30:43.624,-6.476377013418876,-76.39041149714888,2025-01-14 21:11:00-01:00,2025-01-16 10:30:43.624000-01:00,1
214,2661266,S53,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-23,1960-01-01 11:17:00,2025-03-26,1960-01-01 08:59:21.412,-6.476377013418876,-76.39041149714888,2025-03-23 11:17:00-01:00,2025-03-26 08:59:21.412000-01:00,2
215,2899134,S53,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-11,1960-01-01 21:05:00,2025-03-14,1960-01-01 09:51:27.944,-6.501754879385033,-76.34660395591143,2025-03-11 21:05:00-01:00,2025-03-14 09:51:27.944000-01:00,2
216,1371247,S53,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-29,1960-01-01 20:57:00,2025-05-31,1960-01-01 12:24:14.328,-6.481914111362108,-76.35217664666955,2025-05-29 20:57:00-01:00,2025-05-31 12:24:14.328000-01:00,1
217,644683,S53,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-24,1960-01-01 16:43:00,2025-02-28,1960-01-01 01:17:28.451,-6.507137898559714,-76.34691354984244,2025-02-24 16:43:00-01:00,2025-02-28 01:17:28.451000-01:00,3
218,635721,S53,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-18,1960-01-01 08:37:00,2025-02-20,1960-01-01 01:58:12.341,-6.480376034696295,-76.35527258597962,2025-02-18 08:37:00-01:00,2025-02-20 01:58:12.341000-01:00,1
219,2778844,S53,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-21,1960-01-01 08:32:00,2025-10-24,1960-01-01 09:01:34.100,-6.506830299017543,-76.34737794073895,2025-10-21 08:32:00-01:00,2025-10-24 09:01:34.100000-01:00,3
220,1651188,S53,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-25,1960-01-01 09:08:00,2025-09-27,1960-01-01 21:22:34.896,-6.490065839347484,-76.39025670018337,2025-09-25 09:08:00-01:00,2025-09-27 21:22:34.896000-01:00,2
221,1684561,S53,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-05,1960-01-01 23:09:00,2025-02-08,1960-01-01 08:10:31.378,-6.4809912659254785,-76.372919440047,2025-02-05 23:09:00-01:00,2025-02-08 08:10:31.378000-01:00,2
222,642773,S53,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-14,1960-01-01 16:31:00,2025-10-18,1960-01-01 09:20:02.220,-6.482683147935934,-76.35326022542807,2025-10-14 16:31:00-01:00,2025-10-18 09:20:02.220000-01:00,3
223,519950,S35,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-13,1960-01-01 19:30:00,2025-02-16,1960-01-01 02:00:20.037,-6.511598070749814,-76.36115487066874,2025-02-13 19:30:00-01:00,2025-02-16 02:00:20.037000-01:00,2
224,519950,S35,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-15,1960-01-01 16:31:00,2025-02-18,1960-01-01 15:06:47.360,-6.511598070749814,-76.36115487066874,2025-02-15 16:31:00-01:00,2025-02-18 15:06:47.360000-01:00,2
225,369047,S35,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-20,1960-01-01 22:37:00,2025-08-21,1960-01-01 23:55:37.184,-6.5022162832877255,-76.37849213080513,2025-08-20 22:37:00-01:00,2025-08-21 23:55:37.184000-01:00,1
226,365820,S35,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-04,1960-01-01 19:08:00,2025-02-07,1960-01-01 05:36:28.250,-6.483759797168786,-76.37059748556446,2025-02-04 19:08:00-01:00,2025-02-07 05:36:28.250000-01:00,2
227,514348,S35,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-29,1960-01-01 09:14:00,2025-06-01,1960-01-01 00:14:24.596,-6.462687816223404,-76.35743974349666,2025-05-29 09:14:00-01:00,2025-06-01 00:14:24.596000-01:00,2
228,368622,S35,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-26,1960-01-01 15:54:00,2025-04-27,1960-01-01 23:31:57.256,-6.507291698260166,-76.3453655801874,2025-04-26 15:54:00-01:00,2025-04-27 23:31:57.256000-01:00,1
229,511077,S35,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-02,1960-01-01 12:46:00,2025-03-04,1960-01-01 00:21:53.444,-6.476223204275322,-76.40093769080312,2025-03-02 12:46:00-01:00,2025-03-04 00:21:53.444000-01:00,1
230,2016264,S71,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-11,1960-01-01 22:17:00,2025-10-15,1960-01-01 19:40:29.768,-6.483144569317247,-76.36734674928888,2025-10-11 22:17:00-01:00,2025-10-15 19:40:29.768000-01:00,3
231,2147977,S71,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-03,1960-01-01 08:19:00,2025-03-06,1960-01-01 20:39:43.736,-6.510521481089911,-76.373229033978,2025-03-03 08:19:00-01:00,2025-03-06 20:39:43.736000-01:00,3
232,1811924,S71,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-18,1960-01-01 12:10:00,2025-06-19,1960-01-01 21:52:55.744,-6.510213883620181,-76.34459159535989,2025-06-18 12:10:00-01:00,2025-06-19 21:52:55.744000-01:00,1
233,2256956,S71,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-24,1960-01-01 14:26:00,2025-02-26,1960-01-01 04:40:53.862,-6.496217999530871,-76.3449011892909,2025-02-24 14:26:00-01:00,2025-02-26 04:40:53.862000-01:00,1
234,2127561,S71,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-24,1960-01-01 13:31:00,2025-02-28,1960-01-01 02:27:19.120,-6.471762718728183,-76.39474581218299,2025-02-24 13:31:00-01:00,2025-02-28 02:27:19.120000-01:00,3
236,2428268,S39,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-06,1960-01-01 12:59:00,2025-11-09,1960-01-01 02:26:08.984,-6.4823755334471445,-76.38360043066675,2025-11-06 12:59:00-01:00,2025-11-09 02:26:08.984000-01:00,2
238,2397705,S39,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-23,1960-01-01 02:23:00,2025-06-26,1960-01-01 02:47:07.064,-6.478068910904234,-76.3730742370125,2025-06-23 02:23:00-01:00,2025-06-26 02:47:07.064000-01:00,3
239,2397680,S39,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-24,1960-01-01 13:35:00,2025-04-27,1960-01-01 16:32:22.924,-6.476838440568309,-76.39706776666553,2025-04-24 13:35:00-01:00,2025-04-27 16:32:22.924000-01:00,3
240,2400011,S39,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-24,1960-01-01 06:59:00,2025-04-26,1960-01-01 17:20:47.784,-6.501293475058875,-76.3586781192207,2025-04-24 06:59:00-01:00,2025-04-26 17:20:47.784000-01:00,2
241,1795875,S69,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-15,1960-01-01 16:03:00,2025-07-16,1960-01-01 18:20:38.156,-6.466379321645783,-76.36038088584122,2025-07-15 16:03:00-01:00,2025-07-16 18:20:38.156000-01:00,1
242,2865796,S69,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-28,1960-01-01 22:36:00,2025-10-31,1960-01-01 08:08:51.868,-6.519903113345654,-76.3682755310819,2025-10-28 22:36:00-01:00,2025-10-31 08:08:51.868000-01:00,2
243,1797147,S69,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-18,1960-01-01 06:52:00,2025-09-19,1960-01-01 08:56:10.200,-6.497294619831413,-76.3949006091485,2025-09-18 06:52:00-01:00,2025-09-19 08:56:10.200000-01:00,1
244,1763183,S69,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-01,1960-01-01 07:23:00,2025-08-03,1960-01-01 17:59:17.200,-6.4888353982905995,-76.37632497328808,2025-08-01 07:23:00-01:00,2025-08-03 17:59:17.200000-01:00,2
245,1763183,S69,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-06,1960-01-01 07:13:00,2025-09-07,1960-01-01 18:13:38.660,-6.4888353982905995,-76.37632497328808,2025-09-06 07:13:00-01:00,2025-09-07 18:13:38.660000-01:00,1
246,1750370,S69,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-11,1960-01-01 17:37:00,2025-09-13,1960-01-01 12:27:08.388,-6.492065299653463,-76.36641796749586,2025-09-11 17:37:00-01:00,2025-09-13 12:27:08.388000-01:00,1
247,1769412,S69,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-26,1960-01-01 18:46:00,2025-06-28,1960-01-01 04:19:42.762,-6.500678268631994,-76.34242443784284,2025-06-26 18:46:00-01:00,2025-06-28 04:19:42.762000-01:00,1
248,1774519,S69,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-11,1960-01-01 05:00:00,2025-10-12,1960-01-01 18:24:09.332,-6.474685110262102,-76.36007129191023,2025-10-11 05:00:00-01:00,2025-10-12 18:24:09.332000-01:00,1
249,2073960,S69,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-13,1960-01-01 16:56:00,2025-12-14,1960-01-01 18:23:31.992,-6.479145569986819,-76.37152626735748,2025-12-13 16:56:00-01:00,2025-12-14 18:23:31.992000-01:00,1
250,1751560,S69,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-16,1960-01-01 20:51:00,2025-07-19,1960-01-01 23:56:21.680,-6.473300821643711,-76.37849213080513,2025-07-16 20:51:00-01:00,2025-07-19 23:56:21.680000-01:00,3
251,1806410,S69,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-28,1960-01-01 05:52:00,2025-03-01,1960-01-01 16:52:42.656,-6.493295732818433,-76.36688235839237,2025-02-28 05:52:00-01:00,2025-03-01 16:52:42.656000-01:00,1
252,1761014,S69,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-29,1960-01-01 09:00:00,2025-10-02,1960-01-01 00:57:12.362,-6.512213263804534,-76.36486999784083,2025-09-29 09:00:00-01:00,2025-10-02 00:57:12.362000-01:00,2
253,3135083,S60,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-11,1960-01-01 07:39:00,2025-07-13,1960-01-01 11:09:28.468,-6.492219103963536,-76.37415781577103,2025-07-11 07:39:00-01:00,2025-07-13 11:09:28.468000-01:00,2
254,2758190,S60,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-20,1960-01-01 02:34:00,2025-11-23,1960-01-01 09:03:58.188,-6.508368294844712,-76.35155745880753,2025-11-20 02:34:00-01:00,2025-11-23 09:03:58.188000-01:00,3
258,1593539,S75,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-30,1960-01-01 22:04:00,2025-06-03,1960-01-01 16:11:16.460,-6.496525605566104,-76.36889471894392,2025-05-30 22:04:00-01:00,2025-06-03 16:11:16.460000-01:00,3
259,2024743,S75,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-19,1960-01-01 14:33:00,2025-03-20,1960-01-01 19:12:41.872,-6.481298881258649,-76.38004010046016,2025-03-19 14:33:00-01:00,2025-03-20 19:12:41.872000-01:00,1
260,1589466,S75,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-20,1960-01-01 09:57:00,2025-06-22,1960-01-01 09:13:16.424,-6.470686043900363,-76.39908012721708,2025-06-20 09:57:00-01:00,2025-06-22 09:13:16.424000-01:00,1
261,1968933,S75,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-21,1960-01-01 13:50:00,2025-03-22,1960-01-01 18:35:53.908,-6.514212636024576,-76.34319842267035,2025-03-21 13:50:00-01:00,2025-03-22 18:35:53.908000-01:00,1
262,2116818,S75,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-10,1960-01-01 21:48:00,2025-02-14,1960-01-01 00:23:12.286,-6.501908680732983,-76.36038088584122,2025-02-10 21:48:00-01:00,2025-02-14 00:23:12.286000-01:00,3
264,2090208,S75,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-24,1960-01-01 07:26:00,2025-10-26,1960-01-01 22:57:18.280,-6.498217435398113,-76.3628576372893,2025-10-24 07:26:00-01:00,2025-10-26 22:57:18.280000-01:00,2
265,3023208,S75,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-11,1960-01-01 12:14:00,2025-08-14,1960-01-01 19:23:12.280,-6.508522094168403,-76.3450559862564,2025-08-11 12:14:00-01:00,2025-08-14 19:23:12.280000-01:00,3
266,2667398,S75,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-20,1960-01-01 14:24:00,2025-08-24,1960-01-01 01:57:27.779,-6.474223681144331,-76.37230025218498,2025-08-20 14:24:00-01:00,2025-08-24 01:57:27.779000-01:00,3
267,1967508,S75,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-22,1960-01-01 15:45:00,2025-09-25,1960-01-01 02:40:54.991,-6.500370665136283,-76.36641796749586,2025-09-22 15:45:00-01:00,2025-09-25 02:40:54.991000-01:00,2
268,2099669,S75,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-18,1960-01-01 05:53:00,2025-03-19,1960-01-01 22:10:10.424,-6.489143008836602,-76.35233144363505,2025-03-18 05:53:00-01:00,2025-03-19 22:10:10.424000-01:00,1
269,1969447,S75,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-29,1960-01-01 19:04:00,2025-02-02,1960-01-01 00:47:25.847,-6.514366433557704,-76.36657276446137,2025-01-29 19:04:00-01:00,2025-02-02 00:47:25.847000-01:00,3
270,1921038,S75,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-10,1960-01-01 08:54:00,2025-06-11,1960-01-01 11:34:24.992,-6.473147011562962,-76.36208365246178,2025-06-10 08:54:00-01:00,2025-06-11 11:34:24.992000-01:00,1
271,1970657,S75,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-11,1960-01-01 15:51:00,2025-02-15,1960-01-01 10:56:28.984,-6.4823755334471445,-76.38127847618418,2025-02-11 15:51:00-01:00,2025-02-15 10:56:28.984000-01:00,3
272,1970717,S75,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-22,1960-01-01 14:57:00,2025-07-25,1960-01-01 15:01:05.216,-6.488527787556757,-76.38034969439117,2025-07-22 14:57:00-01:00,2025-07-25 15:01:05.216000-01:00,3
273,682778,S75,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-04,1960-01-01 06:48:00,2025-03-05,1960-01-01 07:33:36.124,-6.472377960456516,-76.3682755310819,2025-03-04 06:48:00-01:00,2025-03-05 07:33:36.124000-01:00,1
274,2756558,S75,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-02,1960-01-01 16:28:00,2025-09-05,1960-01-01 23:19:34.736,-6.478530336506663,-76.38731555783882,2025-09-02 16:28:00-01:00,2025-09-05 23:19:34.736000-01:00,3
275,2184027,S75,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-24,1960-01-01 05:03:00,2025-02-26,1960-01-01 08:10:38.940,-6.50052446690766,-76.35836852528969,2025-02-24 05:03:00-01:00,2025-02-26 08:10:38.940000-01:00,2
276,2675363,S75,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-19,1960-01-01 11:46:00,2025-03-23,1960-01-01 10:21:26.020,-6.496064196442736,-76.34923550432498,2025-03-19 11:46:00-01:00,2025-03-23 10:21:26.020000-01:00,3
277,1969453,S75,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-07,1960-01-01 22:28:00,2025-12-10,1960-01-01 00:11:34.348,-6.473147011562962,-76.37694416115009,2025-12-07 22:28:00-01:00,2025-12-10 00:11:34.348000-01:00,2
278,2088884,S75,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-23,1960-01-01 11:13:00,2025-05-25,1960-01-01 19:52:08.000,-6.511136675463993,-76.35805893135868,2025-05-23 11:13:00-01:00,2025-05-25 19:52:08-01:00,2
279,245747,S34,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-14,1960-01-01 11:41:00,2025-07-17,1960-01-01 00:17:59.046,-6.489604424303387,-76.36456040390982,2025-07-14 11:41:00-01:00,2025-07-17 00:17:59.046000-01:00,2
280,3003683,S34,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-26,1960-01-01 03:29:00,2025-04-29,1960-01-01 21:23:53.864,-6.51129047393972,-76.3628576372893,2025-04-26 03:29:00-01:00,2025-04-29 21:23:53.864000-01:00,3
281,243317,S34,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-25,1960-01-01 21:47:00,2025-04-29,1960-01-01 06:08:37.814,-6.481145073615516,-76.38855393356285,2025-04-25 21:47:00-01:00,2025-04-29 06:08:37.814000-01:00,3
282,244328,S34,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-25,1960-01-01 20:55:00,2025-04-28,1960-01-01 18:46:01.888,-6.483605990276284,-76.35217664666955,2025-04-25 20:55:00-01:00,2025-04-28 18:46:01.888000-01:00,2
283,1732018,S34,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-27,1960-01-01 05:40:00,2025-01-29,1960-01-01 01:26:33.137,-6.500832070309283,-76.35604657080714,2025-01-27 05:40:00-01:00,2025-01-29 01:26:33.137000-01:00,1
284,236978,S34,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-26,1960-01-01 14:40:00,2025-12-27,1960-01-01 20:54:32.304,-6.528669397936955,-76.3823620549427,2025-12-26 14:40:00-01:00,2025-12-27 20:54:32.304000-01:00,1
285,2500238,S67,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-05,1960-01-01 01:35:00,2025-12-07,1960-01-01 07:02:47.202,-6.508214495473921,-76.3455203771529,2025-12-05 01:35:00-01:00,2025-12-07 07:02:47.202000-01:00,2
286,2534622,S67,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-14,1960-01-01 14:11:00,2025-07-18,1960-01-01 12:52:37.548,-6.491450081943356,-76.38901832445936,2025-07-14 14:11:00-01:00,2025-07-18 12:52:37.548000-01:00,3
287,2326266,S67,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-14,1960-01-01 01:35:00,2025-08-15,1960-01-01 20:23:44.216,-6.477453676111302,-76.38886352749385,2025-08-14 01:35:00-01:00,2025-08-15 20:23:44.216000-01:00,1
288,2463490,S67,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-13,1960-01-01 03:56:00,2025-02-14,1960-01-01 12:37:54.620,-6.497294619831413,-76.33963809246377,2025-02-13 03:56:00-01:00,2025-02-14 12:37:54.620000-01:00,1
289,2537260,S67,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-06,1960-01-01 05:56:00,2025-10-08,1960-01-01 17:39:17.224,-6.497448422543419,-76.34861631646297,2025-10-06 05:56:00-01:00,2025-10-08 17:39:17.224000-01:00,2
290,2333444,S67,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-25,1960-01-01 16:59:00,2025-05-29,1960-01-01 12:23:27.472,-6.495448983620093,-76.35589177384163,2025-05-25 16:59:00-01:00,2025-05-29 12:23:27.472000-01:00,3
291,2521364,S67,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-07,1960-01-01 10:57:00,2025-12-09,1960-01-01 22:42:54.096,-6.497756027826368,-76.372919440047,2025-12-07 10:57:00-01:00,2025-12-09 22:42:54.096000-01:00,2
292,2539482,S67,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-07,1960-01-01 05:49:00,2025-01-08,1960-01-01 22:44:13.432,-6.494218555718545,-76.37245504915049,2025-01-07 05:49:00-01:00,2025-01-08 22:44:13.432000-01:00,1
293,2778086,S67,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-10,1960-01-01 23:04:00,2025-06-14,1960-01-01 00:19:54.575,-6.474992729439654,-76.37957570956365,2025-06-10 23:04:00-01:00,2025-06-14 00:19:54.575000-01:00,3
294,2328035,S42,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-03,1960-01-01 20:07:00,2025-07-07,1960-01-01 13:52:15.520,-6.511136675463993,-76.3636316221168,2025-07-03 20:07:00-01:00,2025-07-07 13:52:15.520000-01:00,3
295,2328667,S42,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-23,1960-01-01 01:17:00,2025-06-26,1960-01-01 16:21:49.132,-6.491142472806428,-76.3822072579772,2025-06-23 01:17:00-01:00,2025-06-26 16:21:49.132000-01:00,3
297,2523133,S42,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-07,1960-01-01 22:43:00,2025-10-11,1960-01-01 07:25:38.688,-6.478222719485261,-76.3822072579772,2025-10-07 22:43:00-01:00,2025-10-11 07:25:38.688000-01:00,3
298,2322512,S42,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-01,1960-01-01 06:18:00,2025-07-02,1960-01-01 16:19:38.436,-6.492219103963536,-76.34459159535989,2025-07-01 06:18:00-01:00,2025-07-02 16:19:38.436000-01:00,1
299,2682920,S10,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-11,1960-01-01 06:00:00,2025-03-14,1960-01-01 10:07:21.292,-6.494833770045338,-76.37508659756405,2025-03-11 06:00:00-01:00,2025-03-14 10:07:21.292000-01:00,3
300,2682920,S10,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-12,1960-01-01 17:29:00,2025-03-14,1960-01-01 12:02:23.880,-6.494833770045338,-76.37508659756405,2025-03-12 17:29:00-01:00,2025-03-14 12:02:23.880000-01:00,1
301,2682890,S10,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-12,1960-01-01 18:27:00,2025-03-15,1960-01-01 22:44:22.632,-6.50052446690766,-76.34273403177384,2025-03-12 18:27:00-01:00,2025-03-15 22:44:22.632000-01:00,3
302,2654585,S17,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-10,1960-01-01 03:08:00,2025-05-12,1960-01-01 08:11:16.862,-6.480376034696295,-76.38406482156324,2025-05-10 03:08:00-01:00,2025-05-12 08:11:16.862000-01:00,2
303,1652822,S17,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-26,1960-01-01 21:42:00,2025-04-28,1960-01-01 21:54:49.112,-6.512213263804534,-76.34025728032579,2025-04-26 21:42:00-01:00,2025-04-28 21:54:49.112000-01:00,2
304,2542219,S55,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-19,1960-01-01 21:38:00,2025-05-21,1960-01-01 14:51:37.808,-6.480222226771749,-76.39366223342445,2025-05-19 21:38:00-01:00,2025-05-21 14:51:37.808000-01:00,1
305,2171527,S55,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-24,1960-01-01 17:04:00,2025-12-27,1960-01-01 23:55:14.248,-6.509598688115388,-76.37199065825398,2025-12-24 17:04:00-01:00,2025-12-27 23:55:14.248000-01:00,3
306,2132349,S55,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-17,1960-01-01 16:50:00,2025-02-20,1960-01-01 05:16:34.378,-6.47668463156537,-76.38839913659734,2025-02-17 16:50:00-01:00,2025-02-20 05:16:34.378000-01:00,2
